id,title,price,city,promo_price,url
3596784,Конструктор LEGO Friends Гранд-отель Хартлейк Сити 41684,11389,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3596784/
3226556,Конструктор LEGO DUPLO Classic Коробка с кубиками 10913,3109,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3226556/
3608779,Конструктор SLUBAN Танк Т34/85 M38-B0978,3199,Санкт-Петербург,2399,https://www.detmir.ru/product/index/id/3608779/
3597030,Конструктор LEGO Super Heroes Корабль Стражей 76193,17749,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3597030/
3405530,Конструктор LEGO DUPLO Town Фермерский трактор и животные 10950,1909,Санкт-Петербург,1599,https://www.detmir.ru/product/index/id/3405530/
3758560,Конструктор LEGO Star Wars Легкий имперский крейсер 75315,16189,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3758560/
3596716,Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука 10940,3109,Санкт-Петербург,2499,https://www.detmir.ru/product/index/id/3596716/
3596885,Конструктор LEGO City Арена для шоу каскадёров 60295,10789,Санкт-Петербург,7999,https://www.detmir.ru/product/index/id/3596885/
3405531,Конструктор LEGO DUPLO Town Конюшня для лошади и пони 10951,2989,Санкт-Петербург,2399,https://www.detmir.ru/product/index/id/3405531/
3596974,Конструктор LEGO Ninjago Дар Судьбы Решающая битва 71749,4309,Санкт-Петербург,2999,https://www.detmir.ru/product/index/id/3596974/
4658513,Гибкий конструктор с мотором PELICAN HAPPY TOYS Конструктор для мальчика девочки,11615,Санкт-Петербург,2787,https://www.detmir.ru/product/index/id/4658513/
3153388,Модель сборная Mobicaro Пожарная машина с шуруповертом-двигателем 7128672,1999,Санкт-Петербург,1199,https://www.detmir.ru/product/index/id/3153388/
3599876,Конструктор магнитный Attivio 107деталей TY622,5999,Санкт-Петербург,2999,https://www.detmir.ru/product/index/id/3599876/
3448523,Стол для конструирования База Игрушек с регулировкой высоты 6в1 GT-15,12259,Санкт-Петербург,4903,https://www.detmir.ru/product/index/id/3448523/
3596884,Конструктор LEGO Грузовик для шоу каскадёров 60294,6589,Санкт-Петербург,5229,https://www.detmir.ru/product/index/id/3596884/
3244473,Конструктор LEGO DUPLO Бульдозер 10930,889,Санкт-Петербург,649,https://www.detmir.ru/product/index/id/3244473/
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450,11389,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3405551/
3233714,Конструктор LEGO DUPLO Большая строительная пластина 2304,1549,Санкт-Петербург,1299,https://www.detmir.ru/product/index/id/3233714/
3599880,Конструктор магнитный Attivio Квадрат 12деталей TY503,799,Санкт-Петербург,559,https://www.detmir.ru/product/index/id/3599880/
3599879,Конструктор магнитный Attivio 180деталей TY904,9999,Санкт-Петербург,6999,https://www.detmir.ru/product/index/id/3599879/
2867681,Конструктор SLUBAN Грузовой самолет,2779,Санкт-Петербург,1999,https://www.detmir.ru/product/index/id/2867681/
3244480,Конструктор LEGO DUPLO Башенный кран на стройке 10933,11989,Санкт-Петербург,9499,https://www.detmir.ru/product/index/id/3244480/
3620627,Конструктор LEGO City Wildlife Лагерь спасения дикой природы 60307,10789,Санкт-Петербург,7999,https://www.detmir.ru/product/index/id/3620627/
3596714,Конструктор LEGO Mickey and Friends Космическая ракета Микки и Минни 10774,1909,Санкт-Петербург,1599,https://www.detmir.ru/product/index/id/3596714/
3405535,Конструктор LEGO Classic Прозрачные кубики 11013,3109,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3405535/
3405584,Конструктор LEGO City Fire Команда пожарных 60282,5989,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3405584/
3475282,Конструктор LEGO DUPLO Classic Веселый день рождения 10958,6589,Санкт-Петербург,4999,https://www.detmir.ru/product/index/id/3475282/
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,3109,Санкт-Петербург,2129,https://www.detmir.ru/product/index/id/3405548/
3153387,Модель сборная Mobicaro Грузовик с шуруповертом-двигателем 7128625,1899,Санкт-Петербург,999,https://www.detmir.ru/product/index/id/3153387/
3596785,Конструктор LEGO Friends Американские горки на Волшебной ярмарке 41685,10189,Санкт-Петербург,8799,https://www.detmir.ru/product/index/id/3596785/
3596759,Конструктор LEGO DUPLO Town Парк развлечений 10956,11989,Санкт-Петербург,8299,https://www.detmir.ru/product/index/id/3596759/
3597019,Конструктор LEGO Ninjago Храм Бескрайнего моря 71755,11989,Санкт-Петербург,9999,https://www.detmir.ru/product/index/id/3597019/
618981,Конструктор LEGO Classic Строительная пластина зеленого цвета (10700),829,Санкт-Петербург,599,https://www.detmir.ru/product/index/id/618981/
